plot_code,province,area_rai,month,qa,analysis_mode,coverage_pct,scenes_used,scene_ids,green_observed_rai,yellow_observed_rai,red_observed_rai,water_observed_rai,unknown_observed_rai,green_rai,yellow_rai,red_rai,mean_fcd_score
98-VSD,กระบี่,150.95,2025-03,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20250316T033601_R061_T47NNJ_20250316T090315'],134.4827,14.2217,2.2455,0.0,0.0,133.3589,14.1029,2.2268,79.8281
98-VSD,กระบี่,150.95,2026-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20260316T033529_R061_T47NNJ_20260316T072001'],106.3511,35.2425,9.3564,0.0,0.0,105.4624,34.948,9.2782,67.7028
98-VSD,กระบี่,150.95,2026-08,PARTIAL,same_month_multi_scene_composite,94.75,3,"['S2B_MSIL2A_20260823T033529_R061_T47NNJ_20260823T072632', 'S2B_MSIL2A_20260803T033539_R061_T47NNJ_20260803T072631', 'S2B_MSIL2A_20260813T033529_R061_T47NNJ_20260813T072506']",106.663,26.6969,9.5435,0.1248,7.9218,,,,73.367
99-VSD,กระบี่,205.78,2024-03,GOOD,single_scene_good,100.0,1,['S2A_MSIL2A_20240321T033541_R061_T47NNJ_20240321T091057'],157.3318,44.4525,3.9957,0.0,0.0,156.017,44.081,3.9623,74.2733
99-VSD,กระบี่,205.78,2025-03,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20250316T033601_R061_T47NNJ_20250316T090315'],176.0618,28.1574,1.5608,0.0,0.0,174.5905,27.9221,1.5478,78.1209
99-VSD,กระบี่,205.78,2026-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20260326T033529_R061_T47NNJ_20260326T072041'],169.4438,34.7129,1.6233,0.0,0.0,168.0279,34.4228,1.6097,78.8657
99-VSD,กระบี่,205.78,2026-08,GOOD,single_scene_good,96.66,1,['S2B_MSIL2A_20260803T033539_R061_T47NNJ_20260803T072631'],168.9444,29.2812,0.6868,0.0,6.8677,173.3168,30.039,0.7045,76.1333
100-VSD,กระบี่,291.51,2024-03,GOOD,single_scene_good,100.0,1,['S2A_MSIL2A_20240321T033541_R061_T47NNJ_20240321T091057'],60.7935,201.4409,29.2756,0.0,0.0,60.2855,199.7575,29.0309,54.4428
100-VSD,กระบี่,291.51,2025-03,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20250316T033601_R061_T47NNJ_20250316T090315'],149.1186,133.7956,8.5958,0.0,0.0,147.8725,132.6775,8.524,65.9431
100-VSD,กระบี่,291.51,2026-03,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20260321T033541_R061_T47NNJ_20260321T090910'],134.5431,146.2533,10.7136,0.0,0.0,133.4188,145.0311,10.6241,64.6367
100-VSD,กระบี่,291.51,2026-08,LOW_QA,same_month_multi_scene_composite,13.08,2,"['S2A_MSIL2A_20260820T034201_R061_T47NNJ_20260820T103417', 'S2B_MSIL2A_20260803T033539_R061_T47NNJ_20260803T072631']",0.0,0.1246,37.996,0.0,253.3895,,,,0.7833
102-VSD,ภูเก็ต,32.04,2024-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20240326T033539_R061_T47NMJ_20240326T091647'],14.558,10.1408,0.0,7.3412,0.0,16.3623,11.3977,0.0,37.6116
102-VSD,ภูเก็ต,32.04,2025-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20250304T034549_R104_T47NMJ_20250304T063849'],13.3137,11.6962,0.0,7.0301,0.0,14.7777,12.9823,0.0,35.202
102-VSD,ภูเก็ต,32.04,2026-03,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20260314T034541_R104_T47NMJ_20260314T091810'],13.9981,17.2332,0.0,0.8088,0.0,12.4422,15.3178,0.0,27.997
102-VSD,ภูเก็ต,32.04,2026-08,LOW_QA,same_month_multi_scene_composite,25.63,2,"['S2C_MSIL2A_20260811T034531_R104_T47NMJ_20260811T084712', 'S2B_MSIL2A_20260803T033539_R061_T47NMJ_20260803T072631']",0.0,1.742,0.0,6.4702,23.8278,,,,0.0
